image2,class,image1,object_name
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/bend/daria_bend_trajectories_features.json,0,/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/bend/daria_bend_diffs_full.json,bend
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/bend/denis_bend_trajectories_features.json,0,/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/bend/denis_bend_diffs_full.json,bend
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/bend/eli_bend_trajectories_features.json,0,/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/bend/eli_bend_diffs_full.json,bend
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/bend/ido_bend_trajectories_features.json,0,/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/bend/ido_bend_diffs_full.json,bend
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/bend/ira_bend_trajectories_features.json,0,/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/bend/ira_bend_diffs_full.json,bend
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/bend/lena_bend_trajectories_features.json,0,/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/bend/lena_bend_diffs_full.json,bend
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/bend/lyova_bend_trajectories_features.json,0,/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/bend/lyova_bend_diffs_full.json,bend
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/bend/moshe_bend_trajectories_features.json,0,/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/bend/moshe_bend_diffs_full.json,bend
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/bend/shahar_bend_trajectories_features.json,0,/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/bend/shahar_bend_diffs_full.json,bend
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/jack/daria_jack_trajectories_features.json,1,/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/jack/daria_jack_diffs_full.json,jack
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/jack/denis_jack_trajectories_features.json,1,/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/jack/denis_jack_diffs_full.json,jack
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/jack/eli_jack_trajectories_features.json,1,/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/jack/eli_jack_diffs_full.json,jack
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/jack/ido_jack_trajectories_features.json,1,/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/jack/ido_jack_diffs_full.json,jack
/home/murilo/dataset/Weizmann/Videos_trajectory_from_body_parts_l20_s1/jack/ira_jack_trajectories_features.json,1,/home/murilo/dataset/Weizmann/Videos_angles_from_body_parts/jack/ira_jack_diffs_full.json,jack
