image,object_name,class
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/bend/daria_bend_diffs_full.json,bend,0
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/bend/shahar_bend_diffs_full.json,bend,0
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/bend/ira_bend_diffs_full.json,bend,0
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/bend/denis_bend_diffs_full.json,bend,0
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/bend/lena_bend_diffs_full.json,bend,0
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/bend/moshe_bend_diffs_full.json,bend,0
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/bend/ido_bend_diffs_full.json,bend,0
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/bend/eli_bend_diffs_full.json,bend,0
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/bend/lyova_bend_diffs_full.json,bend,0
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/jack/lyova_jack_diffs_full.json,jack,1
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/jack/eli_jack_diffs_full.json,jack,1
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/jack/moshe_jack_diffs_full.json,jack,1
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/jack/lena_jack_diffs_full.json,jack,1
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/jack/daria_jack_diffs_full.json,jack,1
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/jack/shahar_jack_diffs_full.json,jack,1
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/jack/denis_jack_diffs_full.json,jack,1
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/jack/ido_jack_diffs_full.json,jack,1
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/jack/ira_jack_diffs_full.json,jack,1
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/jump/ido_jump_diffs_full.json,jump,2
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/jump/eli_jump_diffs_full.json,jump,2
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/jump/lena_jump_diffs_full.json,jump,2
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/jump/shahar_jump_diffs_full.json,jump,2
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/jump/ira_jump_diffs_full.json,jump,2
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/jump/moshe_jump_diffs_full.json,skip,6
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/jump/lyova_jump_diffs_full.json,jump,2
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/jump/denis_jump_diffs_full.json,jump,2
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/jump/daria_jump_diffs_full.json,jump,2
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/pjump/moshe_pjump_diffs_full.json,pjump,3
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/pjump/lyova_pjump_diffs_full.json,pjump,3
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/pjump/ido_pjump_diffs_full.json,pjump,3
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/pjump/shahar_pjump_diffs_full.json,pjump,3
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/pjump/ira_pjump_diffs_full.json,pjump,3
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/pjump/lena_pjump_diffs_full.json,pjump,3
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/pjump/denis_pjump_diffs_full.json,pjump,3
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/pjump/eli_pjump_diffs_full.json,pjump,3
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/pjump/daria_pjump_diffs_full.json,pjump,3
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/run/ira_run_diffs_full.json,run,4
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/run/ido_run_diffs_full.json,skip,6
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/run/eli_run_diffs_full.json,run,4
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/run/lena_run2_diffs_full.json,run,4
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/run/shahar_run_diffs_full.json,walk,7
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/run/lena_run1_diffs_full.json,run,4
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/run/denis_run_diffs_full.json,run,4
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/run/daria_run_diffs_full.json,run,4
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/run/moshe_run_diffs_full.json,skip,6
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/run/lyova_run_diffs_full.json,walk,7
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/side/shahar_side_diffs_full.json,side,5
/home/murilo/dataset/Weizmann/Angles_from_2DPoses/side/daria_side_diffs_full.json,side,5
